Name,lat,long,icon
Queen Elizabeth National Park,-0.25205665,29.8903051380388,np
Mbarara,-0.61072,30.653420000000004,city
Bushara Island,-1.288360252611777,29.923067092895508,city
Bwindi Backpackers,-1.1367528850868427,29.67535972595215,lodge
Bwindi Impenetrable National Park,-1.0031325,29.6475413014364,np
Kisoro,-1.3374639680603773,29.737243652343746,city
Kigali,-1.9508511,30.0615075,capital
Benaco,-2.4951673636680027,30.85201263427734,city
Mwanza,-2.5190054556627444,32.895469665527344,city
Serengeti National Park,-2.3713057,34.708967112999,np
Ngorongoro Conservation Area,-3.0611525,35.4209189962205,np
Manyara National Park,-3.5349022,35.7582555834738,np
Arusha,-3.36628,36.69113,city
Dar Es Salaam,-6.81402,39.27939000000001,city
Stone Town,-6.157280813253411,39.19209480285644,city
Mbeya,-8.90903,33.46928,city
Mzuzu,-11.46082,34.0229,city
Nkhata Bay,-11.60716,34.29797,city
Kande,-11.951586026638054,34.12353515625,city
Lilongwe,-13.98628,33.78057,capital
Chipata,-13.63901,32.64551,city
South Luangwa National Park,-13.0872863,31.4549746305221,np
Wildlife Camp,,,lodge
Bush Camp,,,lodge
Lusaka,-15.41681,28.28141,capital
Livingstone,-17.85307,25.86182,capital
Mosi o Tunya National Park,-17.88483455,25.8506391527802,np
Kasane,-17.803161653352067,25.160880088806152,city
Chobe National Park,-18.5526083,24.3995792518858,np
Planet Baobab,-20.1898587,25.3058330115127,lodge
Maun,-19.98695,23.421940000000003,city
Okavango Delta,-19.30717395,22.6324522643171,np
Windhoek,-22.574720000000003,17.07897,city
Outjo,-20.110424814293314,16.154708862304688,city
Etosha National Park,-18.98402695,15.7506484706479,np
Okaukuejo,-19.179868262224076,15.919189453124998,lodge
Otjitotongwe Cheetah Park,-19.594402043388495,15.07118225097656,lodge
Spitzkoppe,-21.841104749065032,15.186538696289062,viewpoint
Swakopmund,-22.676748056714803,14.522209167480469,city
Sesriem,-24.48900367586458,15.801687240600584,lodge
Namib Naukluft National Park,-24.63378955,15.53579,np
Seeheim,-26.8154,17.8003,lodge
Ai Ais,-27.91787578,17.48879148,lodge
Fish River Canyon,-27.577087732770497,17.60859489440918,viewpoint
Ai-Ais Richtersveld Transfrontier Park,-27.90337145,17.0855923558938,np
Cañon Roadhouse,-27.5219,17.8175,lodge
Orange River,-28.696502835,17.49877308,lodge
Highlands,-31.900464504,18.649910798,lodge
Cape Town,-33.9245599419849,18.422698974609375,city
Simon's Town,-34.19801578,18.453425205,city
Huot Bay,-34.0457,18.3566,city
Stellenbosch,-33.93439,18.86916,city
Hermanus,-34.41751,19.23647,city
Gaansbaai,-34.62211950052119,19.31636810302734,city
Mosselbaai,-34.18305,22.153630000000003,city
Knysna,-34.03547,23.04855,city
Plettensberg Bay,-34.05422388685684,23.372383117675778,city
Jeffery's Bay,-34.051308268862826,24.919996261596676,city
Port Elizabeth,-33.94256,25.5323,city
Burgersdorp,-30.995563005321035,26.328821182250977,city
Maseru,-29.31012,27.4781,capital
Semonkong,-29.840069999999997,28.051269999999942,city
Clarens,-28.5137431,28.419444,city
Dagbreek Gastehuis,-26.9662374181723,28.53376865386963,lodge
Malelane,-25.48132407367578,31.548399925231934,city
Kruger National Park,-23.9167724,31.4910158543858,np
Pretoriuskop,-25.1695236022339,31.26983642578125,lodge
Johannesburg,-26.204649999999983,28.049670000000013,city
Incheon,37.44936,126.4528,city
Iksan,35.931339,126.943739,city
Geonsansa,,,
Daedunsan,,,
Jeonju,35.82427,127.148059,city
Busan,35.1797,129.07652,city
Séoul,37.55187,126.9707,capital
Jeju City,,,city
Hallasan,,,np
Shanghai,31.22534,121.4889,city
Zhajiajiao,31.11333,121.05174,city
Suzhou,31.330549,120.6064,unesco
Xi'An,34.376639,108.93409,unesco
Huashan,34.58364,110.0928,city
Changsha,28.1873765,112.9835823,city
Wulingyuan,29.352139,110.56384,city
Zhangjiajie,29.36586955220529,110.45345306396484,np
Yichang,30.6625,111.3622,city
Chengdu,30.69917,104.070839,city
Kathmandu,27.71134,85.31512,capital
Bhaktapur,27.67207,85.42817999999995,city
Nagarkot,27.718509,85.519719,city
Pokhara,28.200919,83.97248,city
Naya Pol,28.29823,83.76784,city
Tikhedunga,28.349136369019668,83.74226689338684,lodge
Ulleri,28.356661481275246,83.73563647270203,lodge
Ghorepani,28.40004557118583,83.69938373565674,lodge
Poon Hill,28.400059727586786,83.68952929973602,viewpoint
Tadapani,28.396213835797102,83.76575231552124,lodge
Ghandruk,28.376411182994637,83.80740165710449,lodge
Annapurna National Park,,,np
Gorakhpur,26.76002,83.36682000000006,city
Varanasi,25.32686,82.98646,city
Agra,27.18328,78.018049,unseco
Jaipur,26.920849,75.785059,unesco
Jodhpur,26.2989301,73.0334001,city
Mumbai,18.9523804,72.8327112,unesco
Madgaon,15.267419,73.96989,city
Patnam Beach,14.99589,74.050559,lodge
Vasco de Gama,15.397914342081675,73.81413459777832,city
Chennai,13.0804251,80.281807,city
